,id,name,alias1,alias2,alias3,gek,predicates,studbookId,father,fatherId,mother,motherId,fatherOfMother,fatherOfMotherId,year,studbook,reg,fei,redId,sex,chipnumber,isDeceased
152,2456833,TIARA ROYAL,,,,,,13.0,TESLA,1956263.0,ROYAL FAIRY,540617.0,ROYAL HIGHNESS,115316.0,2019,Westfälisches Pferdestammbuch e.V.,276441410880919,,1615785.0,2,,False
153,2456829,TOFFIFEE,,,,,,13.0,TESLA,1956263.0,FAIRYTALE,2456828.0,FASHION MAKER,1611760.0,2019,Westfälisches Pferdestammbuch e.V.,276441411051919,,1615781.0,2,,False
154,2456816,TOEVALLIG VAN STB,,,,,,4.0,BY CERA D'ICK,1592300.0,MASSIMA VAN 'T SPIEVELD,1698343.0,INSHALLAH DE MUZE,646553.0,2019,BWP (Belgium Warmblood),056002W00323883,,1615746.0,1,,False
155,2438828,TEST VEULEN,,,,,,1.0,,,,,,,2019,KWPN (Royal Dutch Sporthorse),,,1300320.0,0,,False
156,2438528,AVICCI Z3123,,,,,,5.0,AD A BIG BOY,382520.0,CHELLONE Z,1662189.0,CHELLANO ALPHA Z,714550.0,2019,Zangersheide,056015Z55171319,,1305241.0,2,,False
157,2438389,AMICI SPUMANTE123,,,,,,60.0,ASTI SPUMANTE,39335.0,OKTAVIA,2426341.0,CARINJO HDC,12883.0,2019,Oldenburg International,276418180405719,,1306636.0,0,,False
158,2438387,HIGH FIVE,,,,,,60.0,SCUDERIA 1918 HALIFAX VAN HET KLUIZEBOS,517369.0,LET'S FLY,2045423.0,GLOCK'S LONDON,117863.0,2019,Oldenburg International,276418180479719,,1301292.0,2,,False
159,2438351,OPERA CATRASSE TEXEL,"OPERA,CATRASSE TEXEL",,,,,1.0,GOVERNOR,668616.0,W'ALCATRASSE TEXEL,194841.0,FERRO,796.0,2019,KWPN (Royal Dutch Sporthorse),528003201906418,,1292834.0,2,,False
160,2438233,OPAAL,,,,,,1.0,GLOCK'S LONDON,117863.0,HASTREA,1500753.0,DAKAR VDL,621714.0,2019,KWPN (Royal Dutch Sporthorse),,,1296949.0,0,,False
161,2438218,MORGENROETE,,,,,,2.0,UNITED WAY,1901249.0,LAMINA,40791.0,SIR SHOSTAKOVICH XX,17764.0,2019,Holsteiner Verband,276421000141619,,1617072.0,2,,False
162,2437973,TABASCO PS,,,,,,60.0,TALAN,108859.0,BALCENTIA,2134756.0,BALOUBET DU ROUET,2859.0,2019,Oldenburg International,,,1609771.0,1,,False
